GSM275071	1004 - mAdbID:74486
GSM275072	1007 - mAdbID:74487
GSM275073	1018 - mAdbID:74488
GSM275074	1054 - mAdbID:74489
GSM275075	1041 - mAdbID:74490
GSM275076	1179 - mAdbID:87725
GSM275077	1181 - mAdbID:87727
GSM275078	1184 - mAdbID:87730
GSM275079	1185 - mAdbID:87731
GSM275080	1186 - mAdbID:87732
GSM275081	1187 - mAdbID:87733
GSM275082	1189 - mAdbID:87734
GSM275083	1190 - mAdbID:87735
GSM275084	1211 - mAdbID:87751
GSM275085	1222 - mAdbID:87753
GSM275086	1251 - mAdbID:87758
GSM275087	1252 - mAdbID:87759
GSM275088	1255 - mAdbID:87760
GSM275089	1271 - mAdbID:87761
GSM275090	1272 - mAdbID:87762
GSM275091	1275 - mAdbID:87763
GSM275092	1277 - mAdbID:87765
GSM275093	1279 - mAdbID:87766
GSM275094	1284 - mAdbID:87771
GSM275095	1290 - mAdbID:87774
GSM275096	1291 - mAdbID:87775
GSM275097	104 - mAdbID:87866
GSM275098	106 - mAdbID:87867
GSM275099	113 - mAdbID:87873
GSM275100	114 - mAdbID:87874
GSM275101	115 - mAdbID:87875
GSM275102	118 - mAdbID:87877
GSM275103	119 - mAdbID:87878
GSM275104	1454 - mAdbID:88260
GSM275105	1239 - mAdbID:88272
GSM275106	1173 - mAdbID:88284
GSM275107	1172 - mAdbID:88285
GSM275108	1169 - mAdbID:88287
GSM275109	1167 - mAdbID:88289
GSM275110	1164 - mAdbID:88291
GSM275111	1101 - mAdbID:88298
GSM275112	1746 - mAdbID:88329
GSM275113	1766 - mAdbID:88331
GSM275114	1219 - mAdbID:88335
GSM275115	1225 - mAdbID:88341
GSM275116	1226 - mAdbID:88342
GSM275117	1228 - mAdbID:88344
GSM275118	1215 - mAdbID:88375
GSM275119	1221 - mAdbID:88379
GSM275120	1232 - mAdbID:88380
GSM275121	1233 - mAdbID:88381
GSM275122	1236 - mAdbID:88384
GSM275123	1238 - mAdbID:88385
GSM275124	1240 - mAdbID:88386
GSM275125	1241 - mAdbID:88387
GSM275126	1293 - mAdbID:88395
GSM275127	1334 - mAdbID:88397
GSM275128	1335 - mAdbID:88398
GSM275129	1336 - mAdbID:88399
GSM275130	1337 - mAdbID:88400
GSM275131	1449 - mAdbID:88401
GSM275132	1450 - mAdbID:88402
GSM275133	1451 - mAdbID:88403
GSM275134	1453 - mAdbID:88405
GSM275135	1553 - mAdbID:88420
GSM275136	1619 - mAdbID:88422
GSM275137	1645 - mAdbID:88423
GSM275138	1647 - mAdbID:88424
GSM275139	1651 - mAdbID:88425
GSM275140	1702 - mAdbID:88427
GSM275141	1703 - mAdbID:88428
GSM275142	1704 - mAdbID:88429
GSM275143	1705 - mAdbID:88430
GSM275144	1707 - mAdbID:88433
GSM275145	1742 - mAdbID:88436
GSM275146	1788 - mAdbID:88440
GSM275147	65 - mAdbID:88443
GSM275148	66 - mAdbID:88444
GSM275149	96 - mAdbID:88445
GSM275150	97 - mAdbID:88446
GSM275151	1089 - mAdbID:88451
GSM275152	1099 - mAdbID:88452
GSM275153	1613 - mAdbID:88482
GSM275154	1620 - mAdbID:88488
GSM275155	1650 - mAdbID:88499
GSM275156	1756 - mAdbID:88505
GSM275157	1761 - mAdbID:88507
GSM275158	1762 - mAdbID:88508
GSM275159	1763 - mAdbID:88509
GSM275160	61 - mAdbID:88511
GSM275161	1200 - mAdbID:88524
GSM275162	1295 - mAdbID:88526
GSM275163	1296 - mAdbID:88527
GSM275164	1331 - mAdbID:88529
GSM275165	1652 - mAdbID:88534
GSM275166	24 - mAdbID:89380
GSM275167	21 - mAdbID:89383
GSM275168	26 - mAdbID:89388
GSM275169	47 - mAdbID:89389
GSM275170	53 - mAdbID:89393
GSM275171	95 - mAdbID:89496
GSM275172	98 - mAdbID:89499
GSM275173	99 - mAdbID:89500
GSM275174	103 - mAdbID:89504
GSM275175	107 - mAdbID:89508
GSM275176	108 - mAdbID:89509
GSM275177	109 - mAdbID:89510
GSM275178	49 - mAdbID:89591
GSM275179	1628 - mAdbID:89712
GSM275180	1626 - mAdbID:89726
GSM275181	1298 - mAdbID:89727
GSM275182	1614 - mAdbID:89731
GSM275183	1289 - mAdbID:89733
GSM275184	1617 - mAdbID:89735
GSM275185	1292 - mAdbID:89749
GSM275186	1197 - mAdbID:89760
GSM275187	1206 - mAdbID:89773
GSM275188	1192 - mAdbID:90127
GSM275189	41 - mAdbID:90829
GSM275190	111 - mAdbID:90895
GSM275191	110 - mAdbID:90896
GSM275192	22 - mAdbID:91239
GSM275193	2162 - mAdbID:91246
GSM275194	2006 - mAdbID:91248
GSM275195	2002 - mAdbID:91251
GSM275196	2 - mAdbID:91252
GSM275197	1782 - mAdbID:91253
GSM275198	1220 - mAdbID:91259
GSM275199	1216 - mAdbID:91260
GSM275200	1108 - mAdbID:91261
GSM275201	1097 - mAdbID:91263
GSM275202	1092 - mAdbID:91265
GSM275203	1087 - mAdbID:91267
GSM275204	1281 - mAdbID:91532
GSM275205	2301 - mAdbID:91993
GSM275206	5 - mAdbID:92487
GSM275207	48 - mAdbID:92488
GSM275208	3 - mAdbID:92490
GSM275209	28 - mAdbID:92491
GSM275210	2654 - mAdbID:92492
GSM275211	2653 - mAdbID:92493
GSM275212	2652 - mAdbID:92494
GSM275213	2651 - mAdbID:92495
GSM275214	2650 - mAdbID:92496
GSM275215	2649 - mAdbID:92497
GSM275216	2648 - mAdbID:92498
GSM275217	2646 - mAdbID:92500
GSM275218	2645 - mAdbID:92501
GSM275219	2643 - mAdbID:92502
GSM275220	2642 - mAdbID:92503
GSM275221	2641 - mAdbID:92504
GSM275222	2639 - mAdbID:92506
GSM275223	2609 - mAdbID:92507
GSM275224	2604 - mAdbID:92508
GSM275225	2603 - mAdbID:92509
GSM275226	2600 - mAdbID:92512
GSM275227	2599 - mAdbID:92514
GSM275228	2584 - mAdbID:92516
GSM275229	2517 - mAdbID:92518
GSM275230	2516 - mAdbID:92519
GSM275231	2515 - mAdbID:92520
GSM275232	2514 - mAdbID:92521
GSM275233	2513 - mAdbID:92522
GSM275234	2512 - mAdbID:92523
GSM275235	2511 - mAdbID:92524
GSM275236	2509 - mAdbID:92526
GSM275237	2508 - mAdbID:92527
GSM275238	2507 - mAdbID:92528
GSM275239	2505 - mAdbID:92530
GSM275240	2504 - mAdbID:92531
GSM275241	2503 - mAdbID:92532
GSM275242	2501 - mAdbID:92534
GSM275243	2500 - mAdbID:92535
GSM275244	2498 - mAdbID:92538
GSM275245	2497 - mAdbID:92539
GSM275246	2492 - mAdbID:92544
GSM275247	2491 - mAdbID:92545
GSM275248	2490 - mAdbID:92546
GSM275249	2488 - mAdbID:92548
GSM275250	2487 - mAdbID:92549
GSM275251	2486 - mAdbID:92550
GSM275252	2485 - mAdbID:92551
GSM275253	2484 - mAdbID:92552
GSM275254	2483 - mAdbID:92553
GSM275255	2482 - mAdbID:92554
GSM275256	2445 - mAdbID:92559
GSM275257	2444 - mAdbID:92560
GSM275258	23 - mAdbID:92562
GSM275259	2070 - mAdbID:92563
GSM275260	2067 - mAdbID:92564
GSM275261	1928 - mAdbID:92566
GSM275262	1927 - mAdbID:92567
GSM275263	1920 - mAdbID:92569
